Timestamp,22 Gordon Street Weather Station OAT,"London, United Kingdom Temp",Student Centre Luft WS600 OAT(act)
2026-01-21T08:00:00Z London,7.929999828338623,5.5,7.37500015894572
2026-01-21T09:00:00Z London,8.305000185966492,7,7.71666685740153
2026-01-21T10:00:00Z London,9.426666895548502,7,9.09166685740153
2026-01-21T11:00:00Z London,9.859999895095825,7.5,9.46666669845581
2026-01-21T12:00:00Z London,9.989999771118164,9,9.5
2026-01-21T13:00:00Z London,9.989999771118164,9,9.5
2026-01-21T14:00:00Z London,9.513333559036255,9,9.083333333333334
2026-01-21T15:00:00Z London,9.470000267028809,9,9
2026-01-21T16:00:00Z London,9.470000267028809,9,9
2026-01-21T17:00:00Z London,9.470000267028809,9,9.191666603088379
2026-01-21T18:00:00Z London,9.556666851043701,9,9.5
2026-01-21T19:00:00Z London,9.989999771118164,9,9.5
2026-01-21T20:00:00Z London,9.989999771118164,9,9.5
2026-01-21T21:00:00Z London,9.989999771118164,9,9.5
2026-01-21T22:00:00Z London,9.989999771118164,9,9.5
2026-01-21T23:00:00Z London,10.414999961853027,9,9.5
2026-01-22T00:00:00Z London,10.5,9.25,9.5
2026-01-22T01:00:00Z London,10.202499866485596,10,9.291666666666666
2026-01-22T02:00:00Z London,9.859999895095825,9.75,9
2026-01-22T03:00:00Z London,9.470000267028809,9,9
2026-01-22T04:00:00Z London,9.470000267028809,9,9
2026-01-22T05:00:00Z London,9.470000267028809,8,8.75
2026-01-22T06:00:00Z London,9.470000267028809,7.583333333333333,8.5
2026-01-22T07:00:00Z London,9.25333340962728,7.416666666666667,8.5
2026-01-22T08:00:00Z London,8.949999809265137,8,8.5
2026-01-22T09:00:00Z London,9.036666552225748,8,8.5
2026-01-22T10:00:00Z London,9.68666672706604,8.416666666666666,8.5
2026-01-22T11:00:00Z London,9.989999771118164,9,8.958333333333334
2026-01-22T12:00:00Z London,10.457499980926514,9,9
2026-01-22T13:00:00Z London,10.755000114440918,9.416666666666666,9.600000381469727
2026-01-22T14:00:00Z London,10.96750020980835,10,9.475000381469727
2026-01-22T15:00:00Z London,10.372499942779541,9.583333333333334,9.100000381469727
2026-01-22T16:00:00Z London,9.989999771118164,8.166666666666666,9.100000381469727
2026-01-22T17:00:00Z London,9.903333187103271,7,9.100000381469727
2026-01-22T18:00:00Z London,9.643333435058594,7.833333333333333,9.100000381469727
2026-01-22T19:00:00Z London,9.600000143051147,9,9.100000381469727
2026-01-22T20:00:00Z London,9.296666781107584,9,9.100000381469727
2026-01-22T21:00:00Z London,9.036666552225748,8.583333333333334,9.100000381469727
2026-01-22T22:00:00Z London,8.603333473205566,7.583333333333333,9.100000381469727
2026-01-22T23:00:00Z London,8.430000305175781,7,8.600000381469727
2026-01-23T00:00:00Z London,8.690000057220459,7,8.600000381469727
