Timestamp,CIB CT Circuit Heat Meter Energy,CIB CT Circuit Heat Meter Flow,CIB CT Circuit Heat Meter Inlet Temp,CIB CT Circuit Heat Meter Outlet Temp,CIB CT Circuit Heat Meter Power,CIB Heating CT Circuit Flow Temp,CIB Heating CT Circuit Return Temp
2026-01-07T14:00:00Z London,500,137.3999989827474,53.19999980926514,49.79249954223633,570,52.498871167500816,49.719896952311196
2026-01-07T15:00:00Z London,500,137.54999923706055,53.687500953674316,50.3174991607666,560,53.417012532552086,50.613999684651695
2026-01-07T16:00:00Z London,600,137.88333384195963,53.60249996185303,50.17499923706055,580,53.32238578796387,50.7214158376058
2026-01-07T17:00:00Z London,500,138.3083356221517,53.1899995803833,49.69749927520752,600,52.83134841918945,50.26362419128418
2026-01-07T18:00:00Z London,600,138.4666659037272,53.78750038146973,50.28500016530355,590,53.36842123667399,50.74187469482422
2026-01-07T19:00:00Z London,600,138.35833358764648,55.41499996185303,51.58500099182129,670,54.598575274149574,51.997602780659996
2026-01-07T20:00:00Z London,600,150.29999923706055,58.47999954223633,54.86999988555908,630,57.62664381663004,55.043578465779625
2026-01-07T21:00:00Z London,600,150.80833307902017,60.670000076293945,57.35749912261963,630,59.7203254699707,57.72894605000814
2026-01-07T22:00:00Z London,500,148.89166641235352,61.489999771118164,58.364999771118164,560,61.027103424072266,59.34783776601156
2026-01-07T23:00:00Z London,500,148.66666666666666,61.21999931335449,58.16749954223633,560,60.695173263549805,59.092089335123696
2026-01-08T00:00:00Z London,500,149.54999923706055,61.540000915527344,58.454999923706055,570,60.9206345876058,59.28901608784994
2026-01-08T01:00:00Z London,500,152.38333384195963,61.2524995803833,58.28083292643229,550,60.723355293273926,59.15346908569336
2026-01-08T02:00:00Z London,600,149.23333104451498,61.31666692097982,58.318333307902016,580,60.848612785339355,59.207174936930336
2026-01-08T03:00:00Z London,500,148.34999974568686,61.54000027974447,58.45916716257731,580,60.93629169464111,59.29924710591634
2026-01-08T04:00:00Z London,500,148.61666615804037,61.439998626708984,58.44416745503744,550,60.82043011983236,59.242981910705566
2026-01-08T05:00:00Z London,500,149.15000025431314,61.4966656366984,58.44583384195963,580,60.95194880167643,59.317148208618164
2026-01-08T06:00:00Z London,500,149.49166615804037,61.34916718800863,58.37916564941406,550,60.90184656778971,59.26855595906576
2026-01-08T07:00:00Z London,500,144.63333129882812,57.56166648864746,54.48416709899902,560,58.89895057678223,56.30186398824056
2026-01-08T08:00:00Z London,500,143.19166692097983,52.83916632334391,49.63999970753988,550,52.946434020996094,49.235686937967934
2026-01-08T09:00:00Z London,600,140.62500127156576,51.77416578928629,48.381666819254555,560,51.31986872355143,48.770535151163735
2026-01-08T10:00:00Z London,500,146.59166717529297,51.150833447774254,47.99000040690104,560,50.84161790211996,48.37608242034912
2026-01-08T11:00:00Z London,500,150.69166946411133,52.0799986521403,49.048333168029785,550,51.37869040171305,49.17821216583252
2026-01-08T12:00:00Z London,600,151.30833180745444,51.96416664123535,48.93583329518636,560,51.509124437967934,49.09909598032633
2026-01-08T13:00:00Z London,500,151.51666641235352,52.25916703542074,49.20583311716715,560,52.08456007639567,49.578155835469566
2026-01-08T14:00:00Z London,500,153.12500127156576,52.75666618347168,49.769999504089355,550,52.28660170237223,50.09269587198893
2026-01-08T15:00:00Z London,500,153.7166659037272,53.119166692097984,50.172499338785805,550,52.5730406443278,50.12809308369955
2026-01-08T16:00:00Z London,600,153.8833325703939,53.40500036875407,50.43083381652832,540,53.046175956726074,50.57628854115804
2026-01-08T17:00:00Z London,500,152.23333485921225,52.65583292643229,49.60249996185303,580,52.61140282948812,49.74305820465088
2026-01-08T18:00:00Z London,500,149.92499923706055,50.74000072479248,47.93250052134196,500,50.72660160064697,48.58102289835612
2026-01-08T19:00:00Z London,500,148.9666659037272,49.443333307902016,46.58333365122477,520,49.08345603942871,46.63519700368246
2026-01-08T20:00:00Z London,500,153.53333282470703,51.164999643961586,48.22583293914795,530,50.33568127950033,48.29895496368408
2026-01-08T21:00:00Z London,500,153.81666819254556,55.08666706085205,52.06083329518636,560,53.638817527077414,51.472104506059125
2026-01-08T22:00:00Z London,500,152.98333231608072,61.41166687011719,58.6883331934611,530,60.26378154754639,58.53966999053955
2026-01-08T23:00:00Z London,400,152.76666768391928,61.78333314259847,59.26916694641113,460,61.277618408203125,59.60870170593262
2026-01-09T00:00:00Z London,500,153.60833358764648,61.72999986012777,59.210000356038414,470,61.20246442159017,59.570339838663735
2026-01-09T01:00:00Z London,400,153.70833460489908,61.58916632334391,58.99833234151205,480,61.036496798197426,59.452697118123375
2026-01-09T02:00:00Z London,500,153.62499872843424,61.50999959309896,58.78916613260905,500,60.98326396942139,59.35806846618652
2026-01-09T03:00:00Z London,500,153.7250010172526,61.4624989827474,58.7491668065389,520,60.97700182596842,59.35806846618652
2026-01-09T04:00:00Z London,400,151.86666361490884,60.22166665395101,57.47416623433431,500,60.15926933288574,58.65731620788574
2026-01-09T05:00:00Z London,500,149.3999989827474,57.30583349863688,54.60999870300293,500,57.49109808603922,56.112610816955566
2026-01-09T06:00:00Z London,500,151.81666819254556,55.261667251586914,52.51083278656006,510,55.186798413594566,53.846673011779785
2026-01-09T07:00:00Z London,500,148.25,51.554999669392906,48.763333002726235,490,52.22295252482096,49.584029833475746
2026-01-09T08:00:00Z London,400,137.3416659037272,46.670000076293945,43.65749963124593,510,47.10016918182373,43.92029857635498
2026-01-09T09:00:00Z London,500,136.5500005086263,43.52333354949951,40.57333278656006,470,43.58313846588135,40.62448374430338
2026-01-09T10:00:00Z London,400,135.8416659037272,42.713333447774254,39.94166787465414,450,42.474703788757324,39.64613596598307
2026-01-09T11:00:00Z London,400,138.20833333333334,41.53333282470703,38.94500001271566,440,41.256080627441406,39.14584159851074
2026-01-09T12:00:00Z London,500,137.9750010172526,41.76250139872233,39.07333246866862,440,41.41474596659342,39.355312983194985
2026-01-09T13:00:00Z London,400,137.50833384195963,41.74583371480306,39.04999923706055,440,41.42796961466471,39.31260744730631
2026-01-09T14:00:00Z London,400,138.09999974568686,41.70416704813639,39.02083174387614,440,41.30015309651693,39.249561627705894
2026-01-09T15:00:00Z London,500,138.1000010172526,41.714999198913574,39.020833015441895,450,41.456615130106606,39.398020108540855
2026-01-09T16:00:00Z London,400,138.18333435058594,41.54249954223633,38.78583367665609,450,41.16793632507324,39.204819997151695
2026-01-09T17:00:00Z London,400,138.5749994913737,41.922499656677246,39.16500027974447,450,41.50509452819824,39.581055323282875
2026-01-09T18:00:00Z London,500,137.3000005086263,42.32083288828532,39.53916645050049,450,41.8598845799764,39.856624603271484
2026-01-09T19:00:00Z London,500,138.84166844685873,44.047499656677246,40.97999986012777,520,43.06748580932617,40.92553456624349
2026-01-09T20:00:00Z London,500,137.9750010172526,46.929999669392906,43.66250069936117,530,45.88154824574789,43.75722853342692
2026-01-09T21:00:00Z London,500,138.20833206176758,50.33500003814697,47.06749979654948,540,48.992323557535805,46.81831804911295
2026-01-09T22:00:00Z London,600,144.20000076293945,55.36250019073486,51.94083340962728,580,53.590919494628906,52.07176971435547
2026-01-09T23:00:00Z London,500,150.12499872843424,57.826666831970215,54.892499923706055,560,57.301842053731285,55.83384291330973
2026-01-10T00:00:00Z London,500,150.51666641235352,57.85749912261963,54.8041664759318,540,57.3606653213501,55.90289433797201
2026-01-10T01:00:00Z London,600,150.34166717529297,58.92583401997884,55.74916617075602,560,58.19696521759033,56.70083204905192
2026-01-10T02:00:00Z London,500,148.81666819254556,59.389166514078774,56.24750010172526,550,58.82610893249512,57.378567695617676
2026-01-10T03:00:00Z London,500,148.50833002726236,58.38583278656006,55.40250047047933,530,58.31460984547933,56.84149742126465
2026-01-10T04:00:00Z London,500,146.4250005086263,58.15749994913737,54.94749959309896,550,57.74940427144369,56.276288986206055
2026-01-10T05:00:00Z London,500,148.95833333333334,58.21749973297119,55.13083299001058,550,57.734060287475586,56.24815686543783
2026-01-10T06:00:00Z London,500,145.1166648864746,57.676665941874184,54.53416728973389,540,57.51155757904053,56.07424767812093
2026-01-10T07:00:00Z London,500,146.01666641235352,55.27916590372721,52.389166514078774,510,55.304441134134926,51.90584659576416
2026-01-10T08:00:00Z London,500,143.68333307902017,53.19500001271566,50.20916589101156,500,53.08453909556071,48.931403477986656
