Timestamp,CIB AHU-03 (Teaching) Filter DPS,CIB AHU-03 (Teaching) Heating Valve,CIB AHU-03 (Teaching) Off Coil Temp,CIB AHU-03 (Teaching) Supply Air Temp,CIB AHU-03 (Teaching) Supply Air Temp Setpoint,CIB AHU-03 (Teaching) Supply Fan 01 Enable,CIB AHU-03 (Teaching) Supply Fan 02 Enable,CIB AHU-03 (Teaching) Supply Fan DPS,CIB AHU-03 (Teaching) Time Schedule
2025-09-26T10:00:00+01:00 London,AAAA,42.83258183797201,17.156546115875244,18.01673952738444,18,AAAB,AAAA,AAAB,AAAB
2025-09-26T11:00:00+01:00 London,AAAA,39.893927256266274,17.51140308380127,18.018986225128174,18,AAAB,AAAA,AAAB,AAAB
2025-09-26T12:00:00+01:00 London,AAAA,36.87062454223633,17.805624961853027,18.021235466003418,18,AAAB,AAAA,AAAB,AAAB
2025-09-26T13:00:00+01:00 London,AAAA,30.66068172454834,16.646718978881836,17.926904678344727,18,AAAB,AAAA,AAAB,AAAB
2025-09-26T14:00:00+01:00 London,AAAA,66.71715195973714,15.38899294535319,17.29804261525472,18,AAAB,AAAA,AAAB,AAAB
2025-09-26T15:00:00+01:00 London,AAAA,84.92576789855957,16.909491062164307,17.85952615737915,18,AAAB,AAAA,AAAB,AAAB
2025-09-26T16:00:00+01:00 London,AAAA,95.84908803304036,16.916228771209717,17.742738087972004,18,AAAB,AAAA,AAAB,AAAB
2025-09-26T17:00:00+01:00 London,AAAA,100,15.815721352895102,16.97911771138509,18,AAAB,AAAA,AAAB,AAAB
2025-09-26T18:00:00+01:00 London,AAAA,100,15.061086575190226,16.388437430063885,18,AAAB,AAAA,AAAB,AAAB
2025-09-26T19:00:00+01:00 London,AAAA,100,14.665802955627441,16.09421730041504,18,AAAB,AAAA,AAAB,AAAB
2025-09-26T20:00:00+01:00 London,AAAA,100,14.396286010742188,15.878610134124756,18,AAAB,AAAA,AAAB,AAAB
2025-09-26T21:00:00+01:00 London,AAAA,100,14.07736619313558,15.595619440078735,18,AAAB,AAAA,AAAB,AAAB
2025-09-26T22:00:00+01:00 London,AAAA,100,13.59224303563436,15.177874247233072,18,AAAB,AAAA,AAAB,AAAB
2025-09-26T23:00:00+01:00 London,AAAA,87.62949085235596,14.636603673299154,15.921279033025106,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T00:00:00+01:00 London,AAAA,43.35848140716553,17.86626148223877,18.25031852722168,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T01:00:00+01:00 London,AAAA,41.15166918436686,17.64391295115153,17.989790598551433,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T02:00:00+01:00 London,AAAA,40.54541746775309,17.533864816029865,18.01000181833903,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T03:00:00+01:00 London,AAAA,41.57453886667887,17.596750100453693,17.90444326400757,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T04:00:00+01:00 London,AAAA,40.128313064575195,17.522634506225586,18.00775909423828,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T05:00:00+01:00 London,AAAA,42.01831976572672,17.435041904449463,17.938134988149006,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T06:00:00+01:00 London,AAAA,44.29347642262777,17.167773882548016,17.904444058736164,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T07:00:00+01:00 London,AAAA,47.4998353322347,16.95665995279948,17.935888926188152,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T08:00:00+01:00 London,AAAA,45.533677101135254,17.15879535675049,18.01449728012085,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T09:00:00+01:00 London,AAAA,40.62530517578125,17.374406178792317,18.01224994659424,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T10:00:00+01:00 London,AAAA,39.32507769266764,17.72027858098348,17.951609929402668,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T11:00:00+01:00 London,AAAA,100,15.487817923227945,17.21718994776408,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T12:00:00+01:00 London,AAAA,77.01012802124023,16.16159439086914,17.84605312347412,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T13:00:00+01:00 London,AAAA,88.95105997721355,17.2284197807312,18.28176212310791,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T14:00:00+01:00 London,AAAA,59.14102300008138,16.678163210550945,18.059412161509197,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T15:00:00+01:00 London,AAAA,31.29680887858073,16.934196790059406,18.25481065114339,18,AAAB,AAAA,AAAB,AAAB
