Timestamp,CIB CT Circuit Heat Meter Energy,CIB CT Circuit Heat Meter Flow,CIB CT Circuit Heat Meter Inlet Temp,CIB CT Circuit Heat Meter Outlet Temp,CIB CT Circuit Heat Meter Power
2026-01-07T18:00:00Z London,600,138.4666659037272,53.78750038146973,50.28500016530355,590
2026-01-07T19:00:00Z London,600,138.35833358764648,55.41499996185303,51.58500099182129,670
2026-01-07T20:00:00Z London,600,150.29999923706055,58.47999954223633,54.86999988555908,630
2026-01-07T21:00:00Z London,600,150.80833307902017,60.670000076293945,57.35749912261963,630
2026-01-07T22:00:00Z London,500,148.89166641235352,61.489999771118164,58.364999771118164,560
2026-01-07T23:00:00Z London,500,148.66666666666666,61.21999931335449,58.16749954223633,560
2026-01-08T00:00:00Z London,500,149.54999923706055,61.540000915527344,58.454999923706055,570
2026-01-08T01:00:00Z London,500,152.38333384195963,61.2524995803833,58.28083292643229,550
2026-01-08T02:00:00Z London,600,149.23333104451498,61.31666692097982,58.318333307902016,580
2026-01-08T03:00:00Z London,500,148.34999974568686,61.54000027974447,58.45916716257731,580
2026-01-08T04:00:00Z London,500,148.61666615804037,61.439998626708984,58.44416745503744,550
2026-01-08T05:00:00Z London,500,149.15000025431314,61.4966656366984,58.44583384195963,580
2026-01-08T06:00:00Z London,500,149.49166615804037,61.34916718800863,58.37916564941406,550
2026-01-08T07:00:00Z London,500,144.63333129882812,57.56166648864746,54.48416709899902,560
2026-01-08T08:00:00Z London,500,143.19166692097983,52.83916632334391,49.63999970753988,550
2026-01-08T09:00:00Z London,600,140.62500127156576,51.77416578928629,48.381666819254555,560
2026-01-08T10:00:00Z London,500,146.59166717529297,51.150833447774254,47.99000040690104,560
2026-01-08T11:00:00Z London,500,150.69166946411133,52.0799986521403,49.048333168029785,550
2026-01-08T12:00:00Z London,600,151.30833180745444,51.96416664123535,48.93583329518636,560
2026-01-08T13:00:00Z London,500,151.51666641235352,52.25916703542074,49.20583311716715,560
2026-01-08T14:00:00Z London,500,153.12500127156576,52.75666618347168,49.769999504089355,550
2026-01-08T15:00:00Z London,500,153.7166659037272,53.119166692097984,50.172499338785805,550
2026-01-08T16:00:00Z London,600,153.8833325703939,53.40500036875407,50.43083381652832,540
2026-01-08T17:00:00Z London,500,152.23333485921225,52.65583292643229,49.60249996185303,580
2026-01-08T18:00:00Z London,500,149.92499923706055,50.74000072479248,47.93250052134196,500
2026-01-08T19:00:00Z London,500,148.9666659037272,49.443333307902016,46.58333365122477,520
2026-01-08T20:00:00Z London,500,153.53333282470703,51.164999643961586,48.22583293914795,530
2026-01-08T21:00:00Z London,500,153.81666819254556,55.08666706085205,52.06083329518636,560
2026-01-08T22:00:00Z London,500,152.98333231608072,61.41166687011719,58.6883331934611,530
2026-01-08T23:00:00Z London,400,152.76666768391928,61.78333314259847,59.26916694641113,460
2026-01-09T00:00:00Z London,500,153.60833358764648,61.72999986012777,59.210000356038414,470
2026-01-09T01:00:00Z London,400,153.70833460489908,61.58916632334391,58.99833234151205,480
2026-01-09T02:00:00Z London,500,153.62499872843424,61.50999959309896,58.78916613260905,500
