Timestamp,Central House Luft WS10 OAT
2026-01-07T15:00:00Z London,3.1833333571751914
2026-01-07T16:00:00Z London,2.9666666388511658
2026-01-07T17:00:00Z London,2.950000047683716
2026-01-07T18:00:00Z London,2.783333341280619
2026-01-07T19:00:00Z London,2.041666636864344
2026-01-07T20:00:00Z London,1.6833333373069763
2026-01-07T21:00:00Z London,1.6333333452542622
2026-01-07T22:00:00Z London,1.7333333293596904
2026-01-07T23:00:00Z London,2.0499999821186066
2026-01-08T00:00:00Z London,1.8333333333333333
2026-01-08T01:00:00Z London,2.2749999860922494
2026-01-08T02:00:00Z London,2.5833333134651184
2026-01-08T03:00:00Z London,2.23333332935969
2026-01-08T04:00:00Z London,2.3916666408379874
2026-01-08T05:00:00Z London,2.774999976158142
2026-01-08T06:00:00Z London,2.625
2026-01-08T07:00:00Z London,2.224999984105428
2026-01-08T08:00:00Z London,2.2333333492279053
2026-01-08T09:00:00Z London,2.108333339293798
2026-01-08T10:00:00Z London,2.2999999721844993
2026-01-08T11:00:00Z London,2.208333283662796
2026-01-08T12:00:00Z London,3.4666666388511658
2026-01-08T13:00:00Z London,3.73333332935969
2026-01-08T14:00:00Z London,3.3166666626930237
2026-01-08T15:00:00Z London,2.6583333214124045
2026-01-08T16:00:00Z London,2.3916666507720947
2026-01-08T17:00:00Z London,1.7416666448116302
2026-01-08T18:00:00Z London,0.7333333343267441
2026-01-08T19:00:00Z London,1.0916666736205418
2026-01-08T20:00:00Z London,2.141666680574417
2026-01-08T21:00:00Z London,3.466666658719381
2026-01-08T22:00:00Z London,4.1083332896232605
2026-01-08T23:00:00Z London,4.650000015894572
2026-01-09T00:00:00Z London,4.458333373069763
2026-01-09T01:00:00Z London,4.300000150998433
2026-01-09T02:00:00Z London,4.1166666348775225
2026-01-09T03:00:00Z London,3.249999980131785
2026-01-09T04:00:00Z London,1.7666666607062023
2026-01-09T05:00:00Z London,0.5083333378036817
2026-01-09T06:00:00Z London,0.5583333422740301
2026-01-09T07:00:00Z London,0.7416666646798452
2026-01-09T08:00:00Z London,0.8916666507720947
2026-01-09T09:00:00Z London,1.1333333452542622
2026-01-09T10:00:00Z London,1.5166666507720947
2026-01-09T11:00:00Z London,2.024999996026357
2026-01-09T12:00:00Z London,1.9499999582767487
2026-01-09T13:00:00Z London,2.149999956289927
2026-01-09T14:00:00Z London,2.3583333690961203
2026-01-09T15:00:00Z London,2.299999992052714
2026-01-09T16:00:00Z London,2.4083333611488342
2026-01-09T17:00:00Z London,2.574999968210856
2026-01-09T18:00:00Z London,2.466666658719381
2026-01-09T19:00:00Z London,2.4166667064030967
2026-01-09T20:00:00Z London,2.1916666428248086
2026-01-09T21:00:00Z London,2.058333307504654
2026-01-09T22:00:00Z London,1.8166666626930237
2026-01-09T23:00:00Z London,1.3166666726271312
2026-01-10T00:00:00Z London,0.9416666775941849
2026-01-10T01:00:00Z London,0.4166666716337204
2026-01-10T02:00:00Z London,0.49166667088866234
2026-01-10T03:00:00Z London,-0.09166666927436988
2026-01-10T04:00:00Z London,-0.15000000347693762
2026-01-10T05:00:00Z London,-0.07500000173846881
2026-01-10T06:00:00Z London,-0.3666666715095441
2026-01-10T07:00:00Z London,-0.38333333904544514
2026-01-10T08:00:00Z London,-0.3333333407839139
2026-01-10T09:00:00Z London,-0.20000000422199568
2026-01-10T10:00:00Z London,0.24166667088866234
2026-01-10T11:00:00Z London,0.5583333373069763
2026-01-10T12:00:00Z London,0.9333333522081375
2026-01-10T13:00:00Z London,1.550000011920929
2026-01-10T14:00:00Z London,1.8749999900658925
2026-01-10T15:00:00Z London,2.0999999741713204
2026-01-10T16:00:00Z London,2.5416666666666665
2026-01-10T17:00:00Z London,2.400000015894572
2026-01-10T18:00:00Z London,1.5916666587193806
2026-01-10T19:00:00Z London,1.2166666686534882
2026-01-10T20:00:00Z London,1.1500000109275181
2026-01-10T21:00:00Z London,0.04166666604578495
2026-01-10T22:00:00Z London,-0.5166666706403097
2026-01-10T23:00:00Z London,-1.8999999860922496
2026-01-11T00:00:00Z London,-0.8750000099341074
2026-01-11T01:00:00Z London,-0.6500000084439913
2026-01-11T02:00:00Z London,-0.7833333363135656
2026-01-11T03:00:00Z London,-0.725000003973643
2026-01-11T04:00:00Z London,-0.8083333298563957
2026-01-11T05:00:00Z London,-0.2416666733721892
2026-01-11T06:00:00Z London,0.2833333406597376
2026-01-11T07:00:00Z London,1.0499999970197678
2026-01-11T08:00:00Z London,1.850000003973643
2026-01-11T09:00:00Z London,2.300000011920929
2026-01-11T10:00:00Z London,2.8333332935969033
2026-01-11T11:00:00Z London,3.7666667103767395
2026-01-11T12:00:00Z London,4.28333334128062
2026-01-11T13:00:00Z London,4.666666626930237
2026-01-11T14:00:00Z London,5.041666626930237
2026-01-11T15:00:00Z London,4.674999952316284
2026-01-11T16:00:00Z London,5
2026-01-11T17:00:00Z London,5.325000047683716
2026-01-11T18:00:00Z London,5.450000047683716
2026-01-11T19:00:00Z London,5.316666682561238
2026-01-11T20:00:00Z London,5.491666674613953
2026-01-11T21:00:00Z London,5.833333333333333
2026-01-11T22:00:00Z London,6.308333357175191
2026-01-11T23:00:00Z London,6.9083333015441895
2026-01-12T00:00:00Z London,7.800000071525574
2026-01-12T01:00:00Z London,8.291666587193808
2026-01-12T02:00:00Z London,8.108333508173624
2026-01-12T03:00:00Z London,7.791666666666667
2026-01-12T04:00:00Z London,7.766666611035665
2026-01-12T05:00:00Z London,7.733333309491475
2026-01-12T06:00:00Z London,8.041666746139526
2026-01-12T07:00:00Z London,8.324999968210856
2026-01-12T08:00:00Z London,8.325000047683716
2026-01-12T09:00:00Z London,8.016666730244955
2026-01-12T10:00:00Z London,8.100000143051147
2026-01-12T11:00:00Z London,8.441666762034098
2026-01-12T12:00:00Z London,8.425000031789144
2026-01-12T13:00:00Z London,8.62500007947286
2026-01-12T14:00:00Z London,8.741666634877523
2026-01-12T15:00:00Z London,8.80833331743876
2026-01-12T16:00:00Z London,8.87499992052714
2026-01-12T17:00:00Z London,8.899999618530273
2026-01-12T18:00:00Z London,8.78333322207133
2026-01-12T19:00:00Z London,8.449999809265137
2026-01-12T20:00:00Z London,8.308333237965902
2026-01-12T21:00:00Z London,7.933333436648051
2026-01-12T22:00:00Z London,7.783333460489909
2026-01-12T23:00:00Z London,7.733333349227905
2026-01-13T00:00:00Z London,7.65833334128062
2026-01-13T01:00:00Z London,7.524999976158142
2026-01-13T02:00:00Z London,7.508333325386047
2026-01-13T03:00:00Z London,7.75
2026-01-13T04:00:00Z London,7.991666754086812
2026-01-13T05:00:00Z London,7.858333468437195
2026-01-13T06:00:00Z London,8.016666849454245
2026-01-13T07:00:00Z London,8.066666762034098
2026-01-13T08:00:00Z London,8.008333365122477
2026-01-13T09:00:00Z London,8.275000015894571
2026-01-13T10:00:00Z London,8.183333396911621
2026-01-13T11:00:00Z London,8.274999856948853
2026-01-13T12:00:00Z London,8.308333158493042
2026-01-13T13:00:00Z London,8.341666658719381
